"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Cellular Response to Salt (GO:1902075)",0.0146656912477206,5,5,0.00168487329731256,"GO_Biological_Process_2026",1,0.270444932776737,"n.s."
"GO_Biological_Process_2026::Cellular Response to Sodium Arsenite (GO:1903936)",0.0146656912477206,5,5,0.00168487329731256,"GO_Biological_Process_2026",1,0.270444932776737,"n.s."
"GO_Biological_Process_2026::Response to Sodium Arsenite (GO:1903935)",0.0146656912477206,5,5,0.00168487329731256,"GO_Biological_Process_2026",1,0.270444932776737,"n.s."
"GO_Biological_Process_2026::ATP Metabolic Process (GO:0046034)",0.0147005083583107,24,54,0.00667118490206881,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Phosphorylation (GO:0016310)",0.0151296473073949,92,243,0.000426606791338375,"GO_Biological_Process_2026",1,0.120648463512315,"n.s."
"GO_Molecular_Function_2026::Phosphofructokinase Activity (GO:0008443)",0.0155315625597559,6,7,0.0025016178260686,"GO_Molecular_Function_2026",1,0.233096585919825,"n.s."
"GO_Biological_Process_2026::Heterochromatin Organization (GO:0070828)",0.0162793859179635,41,108,0.0144637529300494,"GO_Biological_Process_2026",1,0.56118290290545,"n.s."
"GO_Molecular_Function_2026::G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637)",0.0174184487333483,7,16,0.129366707409982,"GO_Molecular_Function_2026",1,0.963827673583069,"n.s."
"GO_Biological_Process_2026::Phosphatidylinositol Metabolic Process (GO:0046488)",0.017927928673225,26,67,0.034298341797308,"GO_Biological_Process_2026",1,0.659216349301658,"n.s."
"GO_Biological_Process_2026::Protein Export From Nucleus (GO:0006611)",0.0181360265637603,12,25,0.0255516079166286,"GO_Biological_Process_2026",1,0.598575233737501,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Cytokine-Mediated Signaling Pathway (GO:0001961)",0.0182912577576124,22,47,0.00433586070460847,"GO_Biological_Process_2026",1,0.387862519632741,"n.s."
"GO_Biological_Process_2026::Protein Localization to Organelle (GO:0033365)",0.018871172168416,53,150,0.0273923231560002,"GO_Biological_Process_2026",1,0.615749764700884,"n.s."
"GO_Cellular_Component_2026::INO80-type Complex (GO:0097346)",0.0189680339806126,14,27,0.00715881011214943,"GO_Cellular_Component_2026",0.443435565624294,0.117773972812781,"n.s."
"GO_Cellular_Component_2026::Bounding Membrane of Organelle (GO:0098588)",0.0191285930269303,282,849,0.0002448156433056,"GO_Cellular_Component_2026",0.443435565624294,0.0113505434623506,"GC-driven"
"GO_Molecular_Function_2026::Kinase Binding (GO:0019900)",0.0191635544971298,139,409,0.00355299622636755,"GO_Molecular_Function_2026",1,0.273580709430301,"n.s."
"GO_Molecular_Function_2026::Histone H4 Acetyltransferase Activity (GO:0010485)",0.0193497572270159,10,19,0.0196040648735772,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Sphingomyelin Catabolic Process (GO:0006685)",0.0193650138065803,5,5,0.00168487329731256,"GO_Biological_Process_2026",1,0.270444932776737,"n.s."
