"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::TRNA 5'-Leader Removal (GO:0001682)",0.000939716872091377,8,13,0.00102934122853589,"GO_Biological_Process_2026",0.0915992872369726,0.103736660082617,"n.s."
"GO_Biological_Process_2026::Antimicrobial Humoral Response (GO:0019730)",0.000968949476598071,23,63,0.00117539981513765,"GO_Biological_Process_2026",0.0929253804492279,0.114492376658826,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Regulatory T Cell Differentiation (GO:0045590)",0.000999554355341498,10,19,0.00126373708437144,"GO_Biological_Process_2026",0.0943388920136595,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Vacuolar Acidification (GO:0007035)",0.00101910653661913,15,34,0.00090608349979121,"GO_Biological_Process_2026",0.0946813666677713,0.0962066516028309,"n.s."
"GO_Molecular_Function_2026::TRNA-specific Ribonuclease Activity (GO:0004549)",0.00104181201464429,9,16,0.00120020846517926,"GO_Molecular_Function_2026",0.144290964028234,0.166228872427327,"n.s."
"GO_Biological_Process_2026::COPII Vesicle Coating (GO:0048208)",0.00106920741744899,11,22,0.0012524782990581,"GO_Biological_Process_2026",0.0978078046792571,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Cellular Response to Type I Interferon (GO:0071357)",0.00110714314708728,23,65,0.00190237572233193,"GO_Biological_Process_2026",0.0988294111408222,0.14810556721056,"n.s."
"GO_Biological_Process_2026::CD8-positive, Alpha-Beta T Cell Activation (GO:0036037)",0.00111361764992181,9,17,0.00211177224628124,"GO_Biological_Process_2026",0.0988294111408222,0.155019725634423,"n.s."
"GO_Biological_Process_2026::DNA Protection (GO:0042262)",0.00116657907928283,4,4,0.00143624425126931,"GO_Biological_Process_2026",0.102007047138466,0.115404166460099,"n.s."
"GO_Cellular_Component_2026::Ribonuclease MRP Complex (GO:0000172)",0.00123207751001278,6,8,0.00105732836961163,"GO_Cellular_Component_2026",0.021667570003673,0.019971758092664,"GC-robust"
"GO_Biological_Process_2026::Hormone Biosynthetic Process (GO:0042446)",0.00139055917418803,8,13,0.00102934122853589,"GO_Biological_Process_2026",0.11974754250649,0.103736660082617,"n.s."
"GO_Biological_Process_2026::Regulation of Protein Catabolic Process (GO:0042176)",0.00140974234366874,46,157,0.00190764733242159,"GO_Biological_Process_2026",0.11974754250649,0.14810556721056,"n.s."
"GO_Cellular_Component_2026::RNA Polymerase II, Core Complex (GO:0005665)",0.00147683694958156,9,16,0.00120020846517926,"GO_Cellular_Component_2026",0.0250652610704863,0.0218609399014793,"GC-robust"
"GO_Biological_Process_2026::Protein Catabolic Process (GO:0030163)",0.00150425384517269,46,158,0.00219313144506979,"GO_Biological_Process_2026",0.120639617429004,0.157357833678788,"n.s."
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex III Assembly (GO:0034551)",0.00152229274095836,8,14,0.00199267497087871,"GO_Biological_Process_2026",0.120639617429004,0.14810556721056,"n.s."
"GO_Biological_Process_2026::Respiratory Chain Complex III Assembly (GO:0017062)",0.00152229274095836,8,14,0.00199267497087871,"GO_Biological_Process_2026",0.120639617429004,0.14810556721056,"n.s."
"GO_Cellular_Component_2026::TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744)",0.00152357469251976,8,14,0.00199267497087871,"GO_Cellular_Component_2026",0.0250652610704863,0.0327827172628433,"GC-robust"
"GO_Biological_Process_2026::Cellular Heat Acclimation (GO:0070370)",0.00152802793431656,5,6,0.00140462711818854,"GO_Biological_Process_2026",0.120639617429004,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Heat Acclimation (GO:0010286)",0.00152802793431656,5,6,0.00140462711818854,"GO_Biological_Process_2026",0.120639617429004,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Heme Biosynthetic Process (GO:0006783)",0.00154197963750493,11,23,0.0019813683511469,"GO_Biological_Process_2026",0.120639617429004,0.14810556721056,"n.s."
"GO_Cellular_Component_2026::Cytolytic Granule (GO:0044194)",0.00165137499685675,6,8,0.00105732836961163,"GO_Cellular_Component_2026",0.0263187890124045,0.019971758092664,"GC-robust"
"GO_Biological_Process_2026::Glutathione Metabolic Process (GO:0006749)",0.0016519067766639,14,31,0.00100902211760986,"GO_Biological_Process_2026",0.127561528494072,0.103736660082617,"n.s."
"GO_Biological_Process_2026::Protein Retention in ER Lumen (GO:0006621)",0.00172790228752638,5,6,0.00140462711818854,"GO_Biological_Process_2026",0.131719320533742,0.115404166460099,"n.s."
"GO_Molecular_Function_2026::RAGE Receptor Binding (GO:0050786)",0.00174911957705906,6,9,0.00264786738064427,"GO_Molecular_Function_2026",0.220230055838799,0.244486421479487,"n.s."
"GO_Biological_Process_2026::Nuclear Histone mRNA Catabolic Process (GO:0071045)",0.00178372218617447,7,12,0.00331618656017475,"GO_Biological_Process_2026",0.134253317961942,0.219089392075545,"n.s."
"GO_Cellular_Component_2026::Ficolin-1-rich Granule Lumen (GO:1904813)",0.00181815565278373,37,120,0.00192146340536118,"GO_Cellular_Component_2026",0.0280987691793849,0.03266487789114,"GC-robust"
"GO_Biological_Process_2026::T-helper 1 Type Immune Response (GO:0042088)",0.00186215066238457,11,25,0.00445560266447547,"GO_Biological_Process_2026",0.138404347981733,0.267606196393648,"n.s."
"GO_Biological_Process_2026::Actin Nucleation (GO:0045010)",0.00197289940522889,9,18,0.00349901065758635,"GO_Biological_Process_2026",0.144825430413469,0.22664317133553,"n.s."
"GO_Molecular_Function_2026::DNA-directed RNA Polymerase Activity (GO:0003899)",0.00204291872276354,13,30,0.00240343283713317,"GO_Molecular_Function_2026",0.222569832556754,0.244486421479487,"n.s."
"GO_Molecular_Function_2026::All-trans-retinol Dehydrogenase (NADP+) Activity (GO:0052650)",0.00208910312147134,6,9,0.00264786738064427,"GO_Molecular_Function_2026",0.222569832556754,0.244486421479487,"n.s."
"GO_Biological_Process_2026::RRNA Processing (GO:0006364)",0.0021132769799914,35,116,0.00372376732321538,"GO_Biological_Process_2026",0.152267972847903,0.235548090466368,"n.s."
"GO_Biological_Process_2026::[2Fe-2S] Cluster Assembly (GO:0044571)",0.00213936587143893,6,9,0.00264786738064427,"GO_Biological_Process_2026",0.152267972847903,0.183072319131521,"n.s."
"GO_Biological_Process_2026::Natural Killer Cell Degranulation (GO:0043320)",0.00215111162449106,4,4,0.00143624425126931,"GO_Biological_Process_2026",0.152267972847903,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Glucocorticoid Metabolic Process (GO:0008211)",0.00223563666626219,4,4,0.00143624425126931,"GO_Biological_Process_2026",0.154777410071706,0.115404166460099,"n.s."
"GO_Biological_Process_2026::Intracellular Protein Transmembrane Transport (GO:0065002)",0.0022386238254569,10,21,0.0032983925728548,"GO_Biological_Process_2026",0.154777410071706,0.219089392075545,"n.s."
"GO_Biological_Process_2026::Establishment of Protein Localization to Endoplasmic Reticulum (GO:0072599)",0.00237191902801411,8,16,0.00588953756045288,"GO_Biological_Process_2026",0.162108397018068,0.310817597393401,"n.s."
