"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Molecular_Function_2026::DNA Polymerase Binding (GO:0070182)",0.0028041596595286,11,21,0.00182695998467232,"GO_Molecular_Function_2026",0.363624980624554,0.286020563384369,"n.s."
"GO_Biological_Process_2026::TRNA Wobble Uridine Modification (GO:0002098)",0.00283997178266174,10,18,0.00165262554914721,"GO_Biological_Process_2026",0.196060213032517,0.142365308175812,"n.s."
"GO_Cellular_Component_2026::Mitochondrial Outer Membrane (GO:0005741)",0.00297600117948002,51,164,0.00258766474664511,"GO_Cellular_Component_2026",0.0474300187979628,0.0412409068996565,"GC-robust"
"GO_Biological_Process_2026::DNA Modification (GO:0006304)",0.00298041360839939,10,18,0.00165262554914721,"GO_Biological_Process_2026",0.196060213032517,0.142365308175812,"n.s."
"GO_Biological_Process_2026::Establishment or Maintenance of Transmembrane Electrochemical Gradient (GO:0010248)",0.00298084298015978,6,8,0.00185124940931207,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Cellular Heat Acclimation (GO:0070370)",0.00299880041793506,5,6,0.00227328482458675,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Heat Acclimation (GO:0010286)",0.00299880041793506,5,6,0.00227328482458675,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Hormone Biosynthetic Process (GO:0042446)",0.00303416020106489,8,13,0.00205972067485729,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::DNA Deamination (GO:0045006)",0.00303806342679969,8,13,0.00205972067485729,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Protein Retention in ER Lumen (GO:0006621)",0.0030730724968105,5,6,0.00227328482458675,"GO_Biological_Process_2026",0.196060213032517,0.152787904884616,"n.s."
"GO_Biological_Process_2026::RNA Processing (GO:0006396)",0.00310054845643617,80,288,0.00669899608423558,"GO_Biological_Process_2026",0.196060213032517,0.339970785926784,"n.s."
